PR,CARUID,PRSAD,YEAR,CROP,SEEDED,ESEED,HARV,EHARV,PERHARV,YIELD,YLDLBS,EYIELD,PRODN,PRDLBS,EPRODN,NYIELD,NYLDLBS,NEYIELD,PPYIELD
47,4721,4721,1976,"Wheat, durum",307000,124200,307000,124200,1,33.2,-99,2200,10187,-99,277200,33.18241042,-99,2231.884058,0.014492754
47,4721,4721,1976,"Wheat, spring",874000,353700,874000,353700,1,32.5,-99,2200,28371,-99,772100,32.4610984,-99,2182.923381,-0.007762099
47,4721,4721,1976,"Wheat, winter remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4730,4730,1976,Barley,27900,11300,27000,10900,0.967741935,50,-99,2700,1349,-99,29400,49.96296296,-99,2697.247706,-0.001019368
47,4730,4730,1976,Canary seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4730,4730,1976,Canola,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4730,4730,1976,Chick peas,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4730,4730,1976,Flaxseed,1500,600,1500,600,1,17.1,-99,1100,26,-99,700,17.33333333,-99,1166.666667,0.060606061
47,4730,4730,1976,Lentils,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4730,4730,1976,Mustard seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4730,4730,1976,Oats,62000,25100,52000,21000,0.838709677,61,-99,2300,3171,-99,48900,60.98076923,-99,2328.571429,0.01242236
47,4730,4730,1976,"Peas, dry",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4730,4730,1976,"Rye, all",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4730,4730,1976,"Rye, fall remaining",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4730,4730,1976,"Rye, spring",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4730,4730,1976,Summerfallow,1040000,420900,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4730,4730,1976,Sunflower seed,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
47,4730,4730,1976,Triticale,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
