TABLE: Nutrient Composition and Variability of Some Feedstuffs Commonly Fed to Dairy Cattle (all values on a dry basis) ,,,,,,,,,,,,,,,,,,
#,Feed,Class,TDN (1 x %),DM (%),CP (%),NDICP (%),ADICP (%),EE (%),NDF (%),ADF (%),Lignin (%),Ash (%),DE-1x (Mcal/kg,ME-3x (Mcal/kg),NEL-3x (Mcal/kg),NEL-4x (Mcal/kg),NEM-3x (Mcal/kg),NEG-3x (Mcal/kg)
108,"SOYBEAN Seeds, whole",Conc,101,90,39.2,2.3,0.6,19.2,19.5,13.1,1.2,5.9,4.77,4.05,2.75,2.62,2.76,1.97
109,"SOYBEAN Seeds, whole roasted",Conc,98.8,91,43,6.1,2,19,22.1,14.7,3.1,5,4.72,4,2.72,2.58,2.73,1.95
110,"SOYBEAN Silage, early maturity",Forage,59.9,40.4,17.4,2.5,1.4,5.7,46.5,38.9,6.5,12.2,2.73,2.09,1.29,1.21,1.37,0.79
111,"SUNFLOWER Meal, solvent",Conc,59.9,92.2,28.4,5.5,1.4,1.4,40.3,30,9.5,7.7,2.9,2.24,1.38,1.3,1.49,0.92
112,"SUNFLOWER Oil seeds, whole",Conc,122.3,91.8,19.2,2.9,1.9,41.9,24,16.7,6,5.1,5.37,4.71,3.38,3.22,3.13,2.27
113,TOMATO Pomace,Conc,65.5,24.7,19.3,8,3.8,13.3,60,47.6,13.3,5.5,2.99,2.37,1.52,1.43,1.56,0.96
114,"TRITICALE Silage, headed",Forage,57.2,32,13.8,2.2,1,3.8,59.7,39.6,5.8,9.7,2.37,1.94,1.18,1.1,1.25,0.69
115,Urea,Conc,,,291,,,,,,,,,,,,,
116,WHEAT Bran,Conc,71.5,89.1,17.3,2.8,1.4,4.3,42.5,15.5,3,6.3,3.23,2.55,1.61,1.52,1.74,1.12
117,"WHEAT Grain, rolled",Conc,88.6,89.4,14.2,1.7,0.2,2.3,13.4,4.4,1.7,2,3.83,3.1,1.99,1.88,2.15,1.47
118,"WHEAT Hay, headed",Forage,52.7,66.8,9.4,1.1,0.8,1.7,61.1,38.1,8.7,6.7,2.33,1.71,1.01,0.94,1.06,0.51
119,WHEAT Middlings,Conc,73.3,89.5,18.5,2.8,0.5,4.5,36.7,12.1,4.2,5,3.33,2.64,1.67,1.58,1.8,1.18
120,"WHEAT Silage, early head",Forage,57.2,33.3,12,1.5,1,3.2,59.9,37.6,5.8,8.6,2.55,1.91,1.16,1.08,1.24,0.87
121,WHEAT Straw,Forage,47.5,92.7,4.8,2.1,1.4,1.6,73,49.4,8.8,7.6,2.04,1.44,0.82,0.76,0.83,0.29
122,"WHEY Wet, cattle",Animal,80.3,20.8,14.6,na,na,0.7,na,na,na,9.8,3.63,2.92,1.86,1.76,1.96,1.41
