SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,LAYER_NO,UDEPTH,LDEPTH,HZN_LIT,HZN_MAS,HZN_SUF,HZN_MOD,COFRAG,DOMSAND,VFSAND,TSAND,TSILT,TCLAY,ORGCARB,PHCA,PH2,BASES,CEC,KSAT,KP0,KP10,KP33,KP1500,BD,EC,CACO3,VONPOST,WOOD
SKBLDA~~~~N,SK,BLD,A~~~~,N,5,66,100,,C,g,,0,F,10,49,32,19,0.3,7.7,7.8,100,14,6.18,43,-9,28,16,1.5,0,16,-9,-9
SKBLDB~~~~N,SK,BLD,B~~~~,N,1,0,5,,O,f,1,0,-,-9,-9,-9,-9,48.9,3.7,4.2,56,75,30,96,-9,30,5,0.1,0,0,2,0
SKBLDB~~~~N,SK,BLD,B~~~~,N,2,5,31,,O,f,2,0,-,-9,-9,-9,-9,47.6,5.8,6.3,45,127,30,96,-9,30,5,0.1,0,0,2,0
SKBLDB~~~~N,SK,BLD,B~~~~,N,3,31,51,,O,f,3,0,-,-9,-9,-9,-9,45.2,6.9,7.4,97,200,30,96,-9,40,12,0.1,0,0,2,0
SKBLDB~~~~N,SK,BLD,B~~~~,N,4,51,66,,O,m,,0,-,-9,-9,-9,-9,43.5,6.3,6.8,96,200,3,96,-9,60,15,0.1,0,0,5,5
SKBLDB~~~~N,SK,BLD,B~~~~,N,5,66,100,,C,g,,0,VF,60,84,13,3,0.2,7.8,7.9,100,6,37.69,43,-9,9,5,1.5,1,15,-9,-9
SKBLD~~~~~N,SK,BLD,~~~~~,N,1,0,5,,O,f,1,0,-,-9,-9,-9,-9,48.9,3.7,4.2,56,75,30,96,-9,30,5,0.1,0,0,2,0
SKBLD~~~~~N,SK,BLD,~~~~~,N,2,5,31,,O,f,2,0,-,-9,-9,-9,-9,47.6,5.8,6.3,45,127,30,96,-9,30,5,0.1,0,0,2,0
SKBLD~~~~~N,SK,BLD,~~~~~,N,3,31,51,,O,f,3,0,-,-9,-9,-9,-9,45.2,6.9,7.4,97,200,30,96,-9,40,12,0.1,0,0,2,0
SKBLD~~~~~N,SK,BLD,~~~~~,N,4,51,66,,O,m,,0,-,-9,-9,-9,-9,43.5,6.3,6.8,96,200,3,96,-9,60,15,0.1,0,0,5,5
SKBLD~~~~~N,SK,BLD,~~~~~,N,5,66,100,,C,g,,0,F,10,49,32,19,0.3,7.7,7.8,100,14,6.18,43,-9,28,16,1.5,0,16,-9,-9
SKBLG~~~~~N,SK,BLG,~~~~~,N,1,0,20,,O,f,1,-9,-,-9,-9,-9,-9,51.3,2.8,3.3,20,103,30,96,-9,30,5,0.1,0,0,2,0
SKBLG~~~~~N,SK,BLG,~~~~~,N,2,20,90,,O,f,2,-9,-,-9,-9,-9,-9,53.2,2.9,3.4,11,116,30,96,-9,30,5,0.1,0,0,2,0
SKBLG~~~~~N,SK,BLG,~~~~~,N,3,90,200,,W,,,-9,-,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
SKBLH~~~~~N,SK,BLH,~~~~~,N,1,0,30,,O,f,1,0,-,-9,-9,-9,-9,51.8,4.9,5.3,50,95,30,96,-9,40,12,0.1,0,0,2,0
SKBLH~~~~~N,SK,BLH,~~~~~,N,2,30,60,,O,f,2,0,-,-9,-9,-9,-9,54.8,5.3,5.7,65,100,10,96,-9,40,12,0.1,0,0,2,0
SKBLH~~~~~N,SK,BLH,~~~~~,N,3,60,100,,O,m,1,0,-,-9,-9,-9,-9,54.6,5.4,5.8,67,124,3,96,-9,60,15,0.1,0,0,5,0
SKBLH~~~~~N,SK,BLH,~~~~~,N,4,100,150,,O,m,2,0,-,-9,-9,-9,-9,41.5,6.2,6.7,88,114,3,96,-9,60,15,0.1,0,0,5,0
SKBLH~~~~~N,SK,BLH,~~~~~,N,5,150,185,,O,h,,0,-,-9,-9,-9,-9,40,6.4,6.9,88,76,0.03,92,-9,65,20,0.2,0,0,8,0
SKBLI~~~~~N,SK,BLI,~~~~~,N,1,0,50,,O,f,1,0,-,-9,-9,-9,-9,51.8,4.9,5.3,50,95,30,96,-9,40,12,0.1,0,0,2,0
SKBLI~~~~~N,SK,BLI,~~~~~,N,2,50,100,,O,m,1,0,-,-9,-9,-9,-9,54.6,5.4,5.8,67,124,3,96,-9,60,15,0.1,0,0,5,0
SKBLI~~~~~N,SK,BLI,~~~~~,N,3,100,130,,O,f,2,0,-,-9,-9,-9,-9,54.8,5.3,5.7,65,100,10,96,-9,40,12,0.1,0,0,2,0
SKBLI~~~~~N,SK,BLI,~~~~~,N,4,130,200,,O,m,2,0,-,-9,-9,-9,-9,41.5,6.2,6.7,88,114,3,96,-9,60,15,0.1,0,0,5,0
SKBLK~~~~~N,SK,BLK,~~~~~,N,1,0,30,,O,f,,0,-,-9,-9,-9,-9,51.8,4.9,5.3,50,95,30,96,-9,40,12,0.1,0,0,2,0
SKBLK~~~~~N,SK,BLK,~~~~~,N,2,30,45,,O,m,1,0,-,-9,-9,-9,-9,54.6,5.4,5.8,67,124,3,96,-9,60,15,0.1,0,0,5,0
SKBLK~~~~~N,SK,BLK,~~~~~,N,3,45,70,,C,g,1,0,F,10,49,32,19,0.3,7.7,7.8,100,14,6.18,43,-9,28,16,1.5,0,16,-9,-9
SKBLK~~~~~N,SK,BLK,~~~~~,N,4,70,100,,O,m,2,0,-,-9,-9,-9,-9,54.6,5.4,5.8,67,124,3,96,-9,60,15,0.1,0,0,5,0
SKBLK~~~~~N,SK,BLK,~~~~~,N,5,100,110,,C,g,2,0,F,10,49,32,19,0.3,7.7,7.8,100,14,6.18,43,-9,28,16,1.5,0,16,-9,-9
