Species,Hardiness Zone,Mortality_pct,Age,DBH_cm min,DBH_cm max,DBH_cm mean weighted by area,Roots_kgCperTree min,Roots_kgCperTree max,Roots_kgCperTree mean weighted by area,Fineroots_kgCperTree min,Fineroots_kgCperTree max,Fineroots_kgCperTree mean weighted by area
Hybrid Poplar,2A,0,17,26.340995788574200986431605997495,27.424856185913100148354715202004,26.992176226870867594698211178184,18.466996593941498616686658351682,19.931686960255699858635125565343,19.375839070698170019113604212180,8.310148467273659633747229236178,8.969259132115059429679604363628,8.719127581814170468987867934629
Hybrid Poplar,2A,0,18,27.603887557983298961516993585974,28.735450744628899144572642398998,28.279702049071005376390530727804,20.768901551074200995117280399427,22.364529260639198326998666743748,21.766075962596744375332491472363,9.346005697983370552606174896937,10.064038167287600700205985049251,9.794734183168506191918822878506
Hybrid Poplar,2A,0,19,28.885747909545798961516993585974,30.049594879150401283141036401503,29.578891290321262630413912120275,23.288653627885100405592311290093,24.929025927456901712275794125162,24.321427994345111045504381763749,10.479894132548299268137270701118,11.218061667355600619089273095597,10.944642597455306542997277574614
Hybrid Poplar,2A,0,20,30.132692337036100838076890795492,31.306171417236299703290569595993,30.828366445361499614818967529573,25.868930759587499323970405384898,27.574200399711301656680006999522,26.949381567400610748563849483617,11.641018841814400275325169786811,12.408390179870099956360718351789,12.127221705330292422786442330107
Hybrid Poplar,2A,0,21,31.413343429565401265790569595993,32.555492401122997137008496792987,32.088978586769222545171942329034,28.733500018534400055614241864532,30.405586140062798250482956063934,29.803214584094188666085756267421,12.930075008340400799511371587869,13.682513763028200770577313960530,13.411446562842314733643434010446
Hybrid Poplar,2A,0,22,32.732273101806597992435854393989,33.769104003906299737991503207013,33.346694214866218430870503652841,31.925772835534999671835976187140,33.303191113646001042525313096121,32.841605048316964143850782420486,14.366597775990799235046324611176,14.986436001140599927339280839078,14.778722271742587679455027682707
Hybrid Poplar,2A,0,23,33.876419067382798289145284797996,34.963905334472698882564145606011,34.517454773210900498270348180085,34.625914661124099325206771027297,36.299943101107899678936519194394,35.730295672026535669374425197020,15.581661597505899408133700489998,16.334974395498601751341993804090,16.078633052411973380912968423218
Hybrid Poplar,2A,0,24,34.871158599853501414145284797996,36.054302215576200296709430404007,35.566662667230644956362084485590,37.029248698474702905514277517796,39.070239714518500306894566165283,38.357695404624614354816003469750,16.663161914313601386083973920904,17.581607871533300624378171050921,17.260962932081060472455646959133
Hybrid Poplar,2A,0,25,35.935783386230497171709430404007,37.204292297363302566282072803006,36.679193489270957684311724733561,39.906049958941096633679990191013,42.207032490743500829921686090529,41.398812036352076404455146985129,17.957722481523500590583353186958,18.993164620834601663545981864445,18.629465416358453211387313785963
Hybrid Poplar,2A,0,26,36.853988647460901972863211994991,38.233715057372997137008496792987,37.662776049095825214862998109311,42.230779717831296693475451320410,45.010666094090296951435448136181,44.013083129375885960143932607025,19.003850873024099144004139816388,20.254799742340601653722842456773,19.805887408219131629039111430757
Hybrid Poplar,2A,0,27,37.725238800048799703290569595993,39.215938568115198847863211994991,38.599598147956413640713435597718,44.584247811602097044669790193439,47.706037013541298108521004905924,46.577674720851192091686243657023,20.062911515220999802977530634962,21.467716656093600136046006809920,20.959953624383061310254561249167
Hybrid Poplar,2A,0,28,38.638641357421903421709430404007,40.118244171142599441282072803006,39.505943729463098179621738381684,47.042869031485402331327350111678,50.080974413889997265414422145113,48.993675270282778910768683999777,21.169291064168501037556779920124,22.536438486250499835250593605451,22.047153871627259036358736921102
Hybrid Poplar,2A,0,29,39.516658782958998585854715202004,41.054473876953096578290569595993,40.417534683239416892774897860363,49.486251885229201263882714556530,52.753290442056197662168415263295,51.577881921307984214308817172423,22.268813348353198477980185998604,23.738980698925399082099829684012,23.210046864588662174355704337358
Hybrid Poplar,2A,0,30,40.297328948974602269572642398998,41.932510375976598027136788005009,41.256034211822544932601886102930,51.590546379836197843360423576087,55.211604982509598471551726106554,53.901436413733073038656584685668,23.215745870926298266567755490541,24.845222242129299417001675465144,24.255646386179872564525794587098
Hybrid Poplar,2A,0,31,41.062107086181597992435854393989,42.814521789550802566282072803006,42.089697715182467163685942068696,53.733013942882799085509759606794,57.774372147962601786730374442413,56.298735224597422188708151225001,24.179856274297300444686698028818,25.998467466583100815569196129218,25.334430851068816537008387967944
Hybrid Poplar,2A,0,32,41.891647338867201710854715202004,43.720962524414098027136788005009,42.964639347043735995157476281747,56.185871954004497297319176141173,60.677464183587701995747920591384,59.026586259815410073770181043074,25.283642379302200708934833528474,27.304858882614500004137880750932,26.561963816916996705685960478149
Hybrid Poplar,2A,0,33,42.762962341308600855427357601002,44.544208526611299703290569595993,43.807660719053117759358428884298,59.063803504652000242458598222584,63.164734021875801772694103419781,61.684569033619212063968006987125,26.578711577093500295632111374289,28.424130309844098718485838617198,27.758056065128684508636069949716
