Hardiness,Species,Mortality_pct,Age,TEC_MgCkmyr_min,TEC_MgCkmyr_max,TEC_MgCkmyr_wavg,TEC_MgCkm_min,TEC_MgCkm_max,TEC_MgCkm_wavg,Biom_MgCkmyr_min,Biom_MgCkmyr_max,Biom_MgCkmyr_wavg,Biom_MgCkm_min,Biom_MgCkm_max,Biom_MgCkm_wavg,DOM_MgCkmyr_min,DOM_MgCkmyr_max,DOM_MgCkmyr_wavg,DOM_MgCkm_min,DOM_MgCkm_max,DOM_MgCkm_wavg,Stems_min,Stems_max,Stems_wavg,km_per_ha_min,km_per_ha_max,km_per_ha_wavg,Stems_tosum1ha_min,Stems_tosum1ha_max,Stems_tosum1ha_wavg
2A,Caragana,0,41,2.47055912,2.94257164,2.746904469,109.9645844,164.4091034,117.6667863,1.595762253,2.121954441,1.902151032,44.42264557,46.23379517,45.02768875,0.820617378,0.883133411,0.844753532,65.54194641,118.1753082,72.63910295,527,527,527,1.319328861,1.319328861,1.319328861,659.6644307,659.6644307,659.6644307
2A,Caragana,0,42,2.047477245,2.225371838,2.202306993,112.1899567,166.4926605,119.8690941,1.307088137,1.576636553,1.402912691,45.72973251,47.81043243,46.43060086,0.506922245,0.91828382,0.799394354,66.46022797,118.6822357,73.43849617,527,527,527,1.300738423,1.300738423,1.300738423,650.3692115,650.3692115,650.3692115
2A,Caragana,0,43,2.208343506,2.501460791,2.338540592,114.4502792,168.8238525,122.2076344,1.492604494,1.670031786,1.527939391,47.22233582,49.40633392,47.95853929,0.53831172,0.951783955,0.810601212,67.22794342,119.4175186,74.24909522,527,527,527,1.282838256,1.282838256,1.282838256,641.4191282,641.4191282,641.4191282
2A,Caragana,0,44,2.027956963,2.612602472,2.25206061,116.478241,171.2658234,124.459698,1.540522933,1.67764163,1.592063938,48.76285934,51.03270721,49.55060392,0.487434,0.934960842,0.659996654,67.71537781,120.2331161,74.9090918,527,527,527,1.265587554,1.265587554,1.265587554,632.7937769,632.7937769,632.7937769
2A,Caragana,0,45,2.332583904,2.436467409,2.388288263,118.8977051,173.6332855,126.8479862,1.557598114,1.668754816,1.596004461,50.32045746,52.63162613,51.14660793,0.663829207,0.866378546,0.792283836,68.57724762,121.0016556,75.70137789,527,527,527,1.248948777,1.248948777,1.248948777,624.4743884,624.4743884,624.4743884
2A,Caragana,0,46,2.279456377,2.693130732,2.398181128,121.1771622,176.0500946,129.2461653,1.530620337,1.693383813,1.590190617,51.85107803,54.21209335,52.7367984,0.74883604,1.026048422,0.807990558,69.32608032,121.8380051,76.50936517,527,527,527,1.232887329,1.232887329,1.232887329,616.4436647,616.4436647,616.4436647
2A,Caragana,0,47,2.253706932,2.448050022,2.32244309,123.4308701,178.3486786,131.5686102,1.565268755,1.72479248,1.625781181,53.43787384,55.77736282,54.36258036,0.666912735,0.740956903,0.696661853,69.99299622,122.571312,77.20602938,527,527,527,1.217371269,1.217371269,1.217371269,608.6856345,608.6856345,608.6856345
2A,Caragana,0,48,2.475185156,2.708536386,2.508292305,125.942421,180.8613892,134.0769012,1.612416625,1.850019097,1.668238776,55.05028915,57.53996658,56.03081908,0.750108719,0.899137914,0.840053531,70.89213562,123.3214188,78.04608252,527,527,527,1.202371052,1.202371052,1.202371052,601.1855259,601.1855259,601.1855259
2A,Caragana,0,49,2.269673824,2.714206457,2.416922492,128.2120972,183.575592,136.4938244,1.62710762,1.860176325,1.722650965,56.67739487,59.40014267,57.75346923,0.641297102,0.854030252,0.694271531,71.53469849,124.1754532,78.74035438,527,527,527,1.187859307,1.187859307,1.187859307,593.9296536,593.9296536,593.9296536
2A,Caragana,0,50,2.551130772,2.779158115,2.721528839,130.9912567,186.2204742,139.2153564,1.639153719,1.825348854,1.687694941,58.31655121,61.18989563,59.44116544,0.725781918,1.140004396,1.033833929,72.67470551,125.030571,79.77418863,527,527,527,1.173810637,1.173810637,1.173810637,586.9053186,586.9053186,586.9053186
2A,Caragana,0,51,2.384178162,2.918255568,2.595230876,133.3754272,189.0020905,141.8105837,1.729658723,1.902956963,1.795455678,60.04620743,63.09285355,61.23661977,0.654519439,1.047844172,0.799775156,73.32922363,125.9092331,80.57396348,527,527,527,1.160201439,1.160201439,1.160201439,580.1007193,580.1007193,580.1007193
2A,Caragana,0,52,2.481305122,2.807890415,2.548727335,135.8567352,191.809967,144.3593076,1.816983581,1.908140421,1.837414967,61.87892914,65.00099182,63.07403501,0.648582995,0.899749994,0.711312353,73.97780609,126.8089828,81.28527569,527,527,527,1.147009744,1.147009744,1.147009744,573.504872,573.504872,573.504872
2A,Caragana,0,53,2.540132761,2.950783253,2.711893928,138.3968658,194.7411804,147.0712025,1.774084806,2.003993511,1.850669388,63.65301514,67.00498962,64.92470433,0.744584739,1.026508093,0.861224543,74.74385834,127.7361984,82.14650122,527,527,527,1.134215079,1.134215079,1.134215079,567.1075394,567.1075394,567.1075394
2A,Caragana,0,54,2.677056789,2.761096001,2.732002429,141.1223145,197.4182434,149.8032082,1.839107275,1.942698598,1.874081348,65.49212646,68.94768524,66.79878795,0.734358132,0.886335492,0.85792101,75.63018799,128.4705505,83.00441945,527,527,527,1.121798335,1.121798335,1.121798335,560.8991676,560.8991676,560.8991676
