Table 3. SLC polygons (2011) to be modelled in the Holos V4 simulations,,,,Polygon centroid coordinates,
SLC polygon #,Ecodistrict #,SLC polygon area (ha),Ecodistrict area (ha),Latitude,Longitude
494005,494,"69,748","150,878",45.998756,-67.643483
494007,494,"2,078","150,878",46.053868,-67.635306
494008,494,"1,407","150,878",46.04563,-67.73315
494009,494,"6,327","150,878",45.896145,-67.684446
495001,495,"21,207","252,986",46.159894,-67.16263
495002,495,"10,089","252,986",46.093092,-67.153841
495003,495,"35,082","252,986",46.023661,-67.11653
495004,495,"4,875","252,986",46.00324,-66.883641
495006,495,"12,074","252,986",45.868281,-66.896135
495008,495,"46,932","252,986",45.899996,-67.271793
495009,495,"7,729","252,986",45.868158,-67.173449
495010,495,"52,681","252,986",45.711172,-67.360799
495011,495,"39,250","252,986",45.633772,-67.594495
495012,495,"20,926","252,986",45.707702,-67.604544
496001,496,"36,243","263,217",45.901881,-65.448962
496002,496,"14,150","263,217",45.920685,-65.326063
496003,496,"36,314","263,217",45.815171,-65.211553
496004,496,"6,630","263,217",45.826698,-65.628272
496005,496,"1,748","263,217",45.802298,-65.478115
496006,496,"14,745","263,217",45.725974,-65.541489
496007,496,"25,894","263,217",45.649185,-65.510686
496008,496,"3,457","263,217",45.709533,-65.423807
496009,496,"10,703","263,217",45.661833,-65.619198
496010,496,"3,062","263,217",45.705566,-65.75975
496011,496,"8,740","263,217",45.677429,-65.706452
496012,496,"18,013","263,217",45.558334,-65.584452
496013,496,"3,656","263,217",45.553027,-65.811122
496014,496,"36,062","263,217",45.389687,-65.944437
496015,496,"5,242","263,217",45.408162,-65.836272
496016,496,"6,149","263,217",45.456759,-65.935747
496018,496,"28,133","263,217",45.917157,-64.94525
497002,497,"40,315","258,313",45.730421,-67.022355
497003,497,"13,592","258,313",45.581441,-67.121974
497004,497,"8,636","258,313",45.57756,-67.04567
497005,497,"21,449","258,313",45.516399,-66.941404
497006,497,"27,077","258,313",45.545768,-67.215395
497007,497,"5,715","258,313",45.635461,-67.188866
497008,497,"18,391","258,313",45.325099,-66.96107
497009,497,"85,006","258,313",45.269593,-67.174729
497010,497,"15,824","258,313",45.327598,-67.046941
497011,497,"5,522","258,313",45.409987,-67.339707
497015,497,"2,507","258,313",45.208195,-67.221045
497016,497,"4,196","258,313",45.222331,-67.375051
498001,498,"9,348","170,911",45.850239,-64.869135
498002,498,"100,441","170,911",45.636686,-65.206942
498003,498,"9,509","170,911",45.439273,-65.556884
498004,498,"17,775","170,911",45.432238,-65.680406
498005,498,"33,839","170,911",45.803969,-64.779499
499001,499,"59,913","381,656",45.530035,-65.97252
499002,499,"5,254","381,656",45.658782,-65.969636
499003,499,"5,272","381,656",45.664777,-66.052669
499004,499,"43,815","381,656",45.477837,-66.141562
499005,499,"15,706","381,656",45.495555,-66.236203
499007,499,"34,929","381,656",45.440455,-66.684202
499008,499,"7,913","381,656",45.446275,-66.512561
499009,499,"64,384","381,656",45.322835,-66.374783
499010,499,"42,179","381,656",45.334983,-66.714424
499014,499,"24,835","381,656",45.205383,-66.522661
499015,499,"7,565","381,656",45.266085,-66.801545
499016,499,"11,381","381,656",45.179843,-66.674159
499017,499,"26,003","381,656",45.172611,-67.011564
499018,499,"2,611","381,656",45.149136,-66.770413
499020,499,"5,080","381,656",45.135087,-66.844402
499021,499,"1,814","381,656",45.148535,-67.125382
500001,500,"95,844","982,765",47.934277,-64.699165
500002,500,"10,596","982,765",47.961397,-64.504915
500003,500,"57,953","982,765",47.912657,-64.897657
500005,500,"59,279","982,765",47.828922,-65.200485
500006,500,"4,684","982,765",47.743307,-64.646107
500007,500,"1,380","982,765",47.810316,-64.781325
500008,500,"26,121","982,765",47.670828,-64.611495
500010,500,"12,996","982,765",47.753274,-64.901861
500012,500,"1,667","982,765",47.714525,-64.698522
500013,500,"41,102","982,765",47.657066,-64.802613
500014,500,"3,496","982,765",47.763307,-65.180853
500015,500,"58,556","982,765",47.703411,-65.536166
500016,500,"6,354","982,765",47.596849,-64.913813
500017,500,"7,659","982,765",47.574784,-64.839756
500018,500,"116,548","982,765",47.397307,-64.828086
500019,500,"20,637","982,765",47.251833,-64.938882
500021,500,"60,444","982,765",47.110433,-64.975201
500022,500,"15,304","982,765",47.15614,-65.225096
500023,500,"78,056","982,765",46.900574,-64.747743
500024,500,"24,314","982,765",46.970519,-65.504202
500025,500,"89,024","982,765",46.638718,-64.657163
500026,500,"4,272","982,765",47.041544,-65.482032
500027,500,"2,608","982,765",47.023587,-65.246092
500028,500,"3,569","982,765",47.029844,-65.364139
500029,500,"5,456","982,765",46.873703,-64.921985
500031,500,"9,205","982,765",46.749233,-64.835624
500032,500,"2,441","982,765",46.662652,-64.945219
500033,500,"29,409","982,765",46.367585,-64.530111
500034,500,"24,344","982,765",46.322206,-64.409313
500035,500,"16,800","982,765",46.391041,-64.644064
500037,500,"1,414","982,765",46.251445,-64.571118
500038,500,"1,747","982,765",46.235433,-64.513487
501001,501,"36,560","353,876",47.573373,-65.031327
501002,501,"13,673","353,876",47.666806,-65.369344
501003,501,"8,426","353,876",47.624112,-65.213795
501005,501,"5,131","353,876",47.565266,-65.239901
501007,501,"71,592","353,876",47.394486,-65.371878
501008,501,"25,582","353,876",47.405502,-65.187873
501009,501,"5,392","353,876",47.55584,-65.609847
501010,501,"6,120","353,876",47.507564,-65.510163
501011,501,"21,125","353,876",47.334259,-65.748308
501012,501,"73,705","353,876",47.231767,-65.531606
501013,501,"8,287","353,876",47.249587,-65.168494
501014,501,"44,341","353,876",47.103295,-65.662504
501015,501,"9,703","353,876",47.097921,-65.473933
501016,501,"11,375","353,876",46.96048,-65.764487
502001,502,"27,202","609,621",46.81217,-65.911867
502002,502,"9,077","609,621",46.901623,-65.715924
502003,502,"77,527","609,621",46.619106,-66.039265
502004,502,"10,713","609,621",46.755002,-65.453298
502006,502,"12,430","609,621",46.750395,-65.581134
502007,502,"15,807","609,621",46.622173,-65.849196
502008,502,"38,582","609,621",46.599645,-65.444119
502011,502,"5,565","609,621",46.698971,-65.903335
502014,502,"10,434","609,621",46.5184,-66.247559
502015,502,"23,241","609,621",46.478197,-66.258613
502016,502,"62,881","609,621",46.366164,-66.162922
502017,502,"13,487","609,621",46.546025,-66.307222
502019,502,"37,007","609,621",46.144227,-66.089175
502021,502,"48,473","609,621",46.236876,-66.33077
502022,502,"13,596","609,621",46.282302,-66.530419
502024,502,"24,576","609,621",46.186666,-66.498007
502026,502,"13,378","609,621",46.079714,-66.519407
502027,502,"11,314","609,621",46.236877,-66.687743
502028,502,"25,695","609,621",46.14661,-66.70532
502029,502,"11,331","609,621",46.051501,-66.663616
502030,502,"6,262","609,621",46.04133,-66.77037
502031,502,"6,657","609,621",45.996837,-66.715054
502032,502,"4,255","609,621",46.020382,-66.838609
503001,503,"42,659","781,008",46.737385,-65.284486
503002,503,"11,667","781,008",46.935168,-65.435816
503003,503,"16,397","781,008",46.861477,-65.47747
503004,503,"3,170","781,008",46.800783,-65.102929
503006,503,"5,063","781,008",46.75757,-65.033576
503007,503,"4,111","781,008",46.784167,-65.256644
503008,503,"10,147","781,008",46.716077,-65.228718
503009,503,"8,316","781,008",46.700732,-65.116783
503010,503,"53,361","781,008",46.595382,-65.268808
503011,503,"11,809","781,008",46.567356,-64.855297
503012,503,"15,196","781,008",46.543421,-65.086468
503013,503,"17,374","781,008",46.481352,-64.947729
503015,503,"21,684","781,008",46.40518,-64.896135
503016,503,"37,586","781,008",46.336835,-64.791856
503017,503,"43,879","781,008",46.44019,-65.351382
503020,503,"9,101","781,008",46.235359,-64.849975
503021,503,"27,047","781,008",46.405287,-65.594698
503022,503,"66,548","781,008",46.302353,-65.352621
503024,503,"4,866","781,008",46.177189,-64.868103
503026,503,"48,261","781,008",46.081229,-64.965146
503029,503,"54,985","781,008",46.208601,-65.709463
503031,503,"35,477","781,008",46.154934,-65.382134
503033,503,"35,817","781,008",45.991907,-64.885359
503035,503,872,"781,008",46.112921,-64.966879
503036,503,"21,509","781,008",46.100485,-65.297231
503037,503,"6,508","781,008",46.045535,-64.976104
503040,503,"5,188","781,008",46.072129,-65.428532
503042,503,"12,795","781,008",46.005981,-65.492317
503044,503,"60,932","781,008",46.102661,-64.573506
504001,504,"20,580","785,666",45.838368,-62.17031
504002,504,"45,147","785,666",45.757354,-62.331423
504004,504,"56,340","785,666",45.815564,-62.889763
504005,504,"15,230","785,666",45.690041,-62.549498
504006,504,"29,498","785,666",45.810649,-63.084676
504007,504,"27,000","785,666",45.863734,-63.227588
504008,504,"2,809","785,666",45.666161,-62.438343
504009,504,"4,212","785,666",45.606082,-62.400378
504010,504,"9,289","785,666",45.715772,-62.683639
504011,504,"9,889","785,666",45.612594,-62.533095
504013,504,"2,333","785,666",45.634406,-62.592668
504014,504,"10,880","785,666",45.692773,-62.894057
504015,504,"12,371","785,666",45.616549,-62.85182
504016,504,"14,815","785,666",45.596751,-62.733221
504017,504,"4,092","785,666",45.756692,-63.212494
504018,504,"4,410","785,666",45.570726,-62.631027
504019,504,"28,001","785,666",45.685994,-63.433729
504020,504,"5,343","785,666",45.839111,-63.49466
504021,504,"22,336","785,666",45.692397,-63.289256
504022,504,"1,202","785,666",45.826082,-63.582221
504023,504,"1,834","785,666",45.803663,-63.693947
504024,504,"5,135","785,666",45.728976,-63.561983
504025,504,"2,609","785,666",45.832395,-63.826401
504026,504,"7,964","785,666",45.719302,-63.635856
504027,504,"4,156","785,666",45.79043,-63.820106
504029,504,"3,497","785,666",45.686682,-63.822753
504030,504,"3,187","785,666",45.726164,-63.924565
504031,504,"4,252","785,666",45.688883,-63.937856
504032,504,"27,057","785,666",46.281267,-64.27556
504033,504,"90,171","785,666",46.060945,-64.046732
504034,504,"96,726","785,666",45.917907,-63.554873
504035,504,"24,727","785,666",46.114492,-64.180864
504036,504,"17,773","785,666",45.960878,-63.870095
504037,504,"10,473","785,666",45.897289,-63.766369
504038,504,"49,892","785,666",46.007461,-64.254654
504039,504,"20,464","785,666",45.90651,-64.062809
504040,504,"18,257","785,666",45.802777,-64.010144
504041,504,"2,844","785,666",45.884258,-63.981047
504042,504,"4,557","785,666",45.931626,-64.181177
504043,504,"6,227","785,666",45.78313,-63.947864
504044,504,"2,873","785,666",45.847733,-64.129984
504045,504,"8,699","785,666",45.725477,-63.817454
504046,504,"4,962","785,666",45.806744,-64.181335
505001,505,"6,885","301,689",46.245305,-65.84184
505002,505,"27,141","301,689",46.112103,-65.858707
505003,505,"56,650","301,689",46.011291,-66.119122
505004,505,"57,744","301,689",45.9507,-65.848151
505005,505,"56,734","301,689",45.819448,-65.791915
505006,505,"24,338","301,689",45.962051,-66.408694
505008,505,"8,760","301,689",46.031887,-66.499975
505009,505,"19,256","301,689",45.799938,-66.082691
505010,505,"2,661","301,689",45.9605,-66.602041
505011,505,"12,645","301,689",45.893625,-66.449409
505012,505,"4,583","301,689",45.874029,-66.239206
505013,505,"13,520","301,689",45.826441,-66.342987
505014,505,"6,093","301,689",45.859986,-66.555794
505015,505,"2,224","301,689",45.840454,-66.519036
506001,506,"43,615","206,615",45.756073,-66.331305
506002,506,"31,838","206,615",45.89256,-66.734786
506003,506,"20,034","206,615",45.644125,-66.582484
506005,506,"17,531","206,615",45.761462,-66.732645
506007,506,"16,368","206,615",45.638993,-66.496733
506008,506,"2,941","206,615",45.745844,-66.686006
506009,506,"24,647","206,615",45.672458,-66.843861
506010,506,"5,998","206,615",45.574641,-66.440926
506011,506,"18,396","206,615",45.536713,-66.649734
506012,506,"5,977","206,615",45.514479,-66.550512
507001,507,"2,252","421,383",45.393701,-63.197142
507002,507,"1,766","421,383",45.365743,-63.216255
507003,507,"5,820","421,383",45.396482,-63.339293
507004,507,"1,205","421,383",45.420109,-63.388613
507005,507,"7,848","421,383",45.412862,-63.466536
507006,507,"9,062","421,383",45.363588,-63.527965
507007,507,"6,420","421,383",45.379852,-63.651434
507008,507,"46,028","421,383",45.293408,-63.869784
507009,507,"4,118","421,383",45.383192,-63.719555
507010,507,"14,028","421,383",45.367532,-63.810568
507011,507,"22,770","421,383",45.572432,-64.9271
507012,507,"10,869","421,383",45.63253,-64.772978
507013,507,"7,992","421,383",45.65983,-64.682883
507014,507,"3,609","421,383",45.385463,-63.848576
507015,507,"11,822","421,383",45.358804,-64.056787
507016,507,"7,676","421,383",45.352959,-63.933502
507017,507,"12,372","421,383",45.378967,-64.165758
507018,507,"10,484","421,383",45.353381,-64.257575
507019,507,"1,954","421,383",45.410389,-64.3308
507020,507,"25,568","421,383",45.372368,-64.624171
507021,507,"5,512","421,383",45.387724,-64.497573
507022,507,"8,153","421,383",45.373548,-64.389365
507023,507,"37,029","421,383",45.376769,-64.937717
507024,507,"17,499","421,383",45.296134,-64.752171
507025,507,"19,066","421,383",45.902397,-64.346209
507026,507,"33,129","421,383",45.812195,-64.498772
507027,507,"4,553","421,383",45.961324,-64.556691
507028,507,"3,046","421,383",45.929466,-64.492169
507029,507,"3,079","421,383",45.899837,-64.574387
507031,507,"10,510","421,383",45.824515,-64.631462
507032,507,"5,342","421,383",45.759417,-64.347452
507034,507,"6,494","421,383",45.725466,-64.38838
507035,507,"4,532","421,383",45.69123,-64.473771
507036,507,"2,633","421,383",45.767931,-64.633825
507037,507,"12,564","421,383",45.730904,-64.678999
507038,507,"29,955","421,383",45.566568,-64.692639
508001,508,"116,464","698,034",45.389874,-65.223145
508002,508,"23,736","698,034",45.297193,-65.462724
508003,508,"53,900","698,034",45.217876,-65.591106
508004,508,"78,821","698,034",45.193518,-65.820144
508005,508,"32,884","698,034",45.104188,-65.905584
508008,508,"4,284","698,034",45.14744,-66.522341
508010,508,"51,685","698,034",44.928906,-66.579419
508011,508,"4,884","698,034",45.108475,-66.693096
508012,508,"53,605","698,034",44.909657,-66.731997
508013,508,"29,167","698,034",45.001682,-66.887597
508014,508,"10,496","698,034",45.065019,-67.041982
508017,508,"62,747","698,034",44.667496,-66.805192
509001,509,"167,878","421,729",45.176515,-64.818355
509002,509,"6,881","421,729",45.121033,-64.760408
509003,509,"33,016","421,729",45.024509,-65.283444
509004,509,"213,954","421,729",44.869868,-65.694461
510001,510,"420,960","615,024",44.893048,-64.329682
510002,510,"4,561","615,024",44.922894,-64.542813
510004,510,"10,201","615,024",44.773059,-64.711049
510005,510,"5,366","615,024",44.665381,-64.787144
510006,510,"118,747","615,024",44.654621,-65.169089
510007,510,"6,369","615,024",44.746339,-65.457015
510008,510,"5,803","615,024",44.59359,-64.852985
511001,511,"138,608","163,875",44.669986,-64.125476
511003,511,"3,336","163,875",44.628078,-63.779074
511006,511,"12,214","163,875",44.527964,-64.222696
512001,512,"60,751","287,127",44.778647,-64.504877
512002,512,"16,398","287,127",44.481165,-64.37492
512003,512,"50,361","287,127",44.475152,-64.539969
512004,512,"159,617","287,127",44.388098,-65.088848
513001,513,"16,242","183,390",44.57908,-65.671303
513002,513,"8,303","183,390",44.464679,-65.884376
513003,513,"2,083","183,390",44.501737,-65.865939
513004,513,"21,072","183,390",44.343821,-65.878451
513005,513,"3,118","183,390",44.408624,-65.944436
513006,513,"10,559","183,390",44.373822,-65.931826
513007,513,"10,782","183,390",44.193468,-66.007735
513008,513,"57,367","183,390",44.11265,-65.895089
513009,513,"14,790","183,390",44.179289,-66.085377
513011,513,"17,223","183,390",43.947407,-65.891517
513012,513,"9,839","183,390",43.998192,-65.98576
513013,513,"8,365","183,390",43.91511,-66.041665
514001,514,"127,682","334,404",44.150475,-64.8139
514002,514,"51,455","334,404",43.979019,-64.991741
514004,514,"17,634","334,404",43.898908,-64.992151
514005,514,"42,792","334,404",43.944263,-65.72175
515001,515,"10,340","60,953",43.775716,-65.355501
516001,516,"86,162","3,348,598",45.972311,-60.120809
516004,516,"11,070","3,348,598",45.949553,-60.226603
516006,516,"72,008","3,348,598",45.723986,-60.152039
516009,516,"4,847","3,348,598",45.735841,-60.549714
516011,516,"109,592","3,348,598",45.524592,-60.652797
516013,516,"12,004","3,348,598",45.602535,-61.110157
516014,516,"47,163","3,348,598",45.470183,-60.917417
516015,516,"11,984","3,348,598",45.509374,-61.106506
516019,516,"27,725","3,348,598",45.471702,-61.325866
516021,516,"29,398","3,348,598",45.373134,-61.313496
516028,516,"14,318","3,348,598",45.205959,-61.67222
516033,516,"48,301","3,348,598",44.967514,-61.852994
516034,516,"48,937","3,348,598",44.849049,-62.306351
516038,516,"132,976","3,348,598",44.684635,-62.77341
516040,516,"22,499","3,348,598",44.61425,-63.04844
516042,516,"19,067","3,348,598",44.601348,-63.19523
516043,516,"18,326","3,348,598",44.554094,-63.243359
516045,516,"28,696","3,348,598",44.522246,-63.3183
516046,516,"48,206","3,348,598",44.524116,-63.444238
516047,516,"132,625","3,348,598",44.40996,-63.665184
516049,516,"37,544","3,348,598",44.395728,-63.902338
516050,516,"19,449","3,348,598",44.496051,-64.054639
516051,516,"46,455","3,348,598",44.405184,-64.157602
516052,516,"107,119","3,348,598",44.192299,-64.249524
516053,516,"337,409","3,348,598",44.516706,-66.352822
516055,516,"5,528","3,348,598",44.167665,-64.565629
516056,516,"21,182","3,348,598",44.454769,-66.012097
516057,516,"72,106","3,348,598",43.994754,-64.590241
516059,516,"46,149","3,348,598",44.129053,-66.220287
516061,516,"40,069","3,348,598",43.638929,-65.979291
516063,516,"43,351","3,348,598",43.900961,-66.196967
