Tree #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
89,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,137.9159,165.5619,51.8363,48.3805,54.6637,154.5664,37.6991,63.146,111.2124,87.3363,118.7522,172.4734,166.8186,201.6902,146.0841,129.4336,83.8805,53.0929,89.8495,53.0929,109.0133,45.5531,29.531,69.4292,123.1504,92.3628,122.208,57.8053,98.0177,55.9203,165.2478,161.4779,,,,,,
91,82.3097,99.9026,77.9115,97.0752,35.5,19.1637,48.3805,35.5,22.6195,47.7522,94.5619,83.8805,101.1593,27.9602,93.6195,77.5973,101.7876,87.0221,38.6416,93.9336,71.3142,39.2699,37.385,,,,,,,,,,,,,,,
92,195.4071,60.9469,29.2168,113.0973,120.0088,49.9513,140.7434,128.4911,59.0619,123.7788,135.7168,37.8562,29.2168,55.292,,,,,,,,,,,,,,,,,,,,,,,,
93,149.854,106.1858,49.0088,140.4292,74.4557,87.6504,144.8274,132.5752,56.2345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,88.2788,28.9027,104.615,124.7212,122.208,43.354,97.3894,126.292,60.0044,112.1549,79.4823,129.1195,51.8363,32.0442,61.8894,48.0664,38.0133,126.292,111.8407,127.2345,48.3805,63.146,50.8938,68.8009,115.6106,104.615,,,,,,,,,,,,
95,57.8053,59.3761,147.3407,67.8584,42.7257,66.2876,51.208,60.0044,10.6814,69.4292,50.8938,48.0664,84.1947,52.4646,71.9425,53.7212,33.9292,48.0664,54.0354,130.0619,,,,,,,,,,,,,,,,,,
96,76.3407,96.7611,49.6372,173.7301,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,132.5752,160.5354,205.7743,136.031,62.8319,202.6327,154.5664,59.3761,159.8442,29.2796,41.469,170.0544,43.0398,62.5177,135.4026,142.9425,,,,,,,,,,,,,,,,,,,,,,
98,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,97.0752,107.1283,61.5752,64.7168,28.4314,54.0354,88.9071,55.292,63.4602,85.7655,44.9248,64.4026,41.7832,27.0177,217.3982,58.1195,46.1814,105.5575,43.6681,81.3672,45.2389,152.9956,46.4956,140.4292,,,,,,,,,,,,,,
100,35.1858,127.5487,107.7566,73.5133,48.6947,211.4292,80.4248,134.4602,125.6637,135.7168,53.4071,182.5579,143.2566,31.7301,105.2434,35.1858,44.9248,41.1549,22.6195,245.9867,200.7478,122.208,183.1549,103.9867,79.7965,111.2124,68.4867,45.5531,,,,,,,,,,
101,110.8982,129.4336,53.7212,63.4916,50.8938,117.1814,42.0973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,106.1858,84.5088,94.2478,142,115.2965,138.8584,124.7212,24.5044,148.2832,63.7743,68.4867,37.0708,63.146,60.9469,22.6195,76.0265,79.4823,90.792,47.438,,,,,,,,,,,,,,,,,,,
103,129.7478,65.3451,134.4602,72.5708,149.2257,207.031,34.8717,62.5177,36.1283,33.3009,109.3274,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,60.3186,51.5221,63.146,62.5177,158.6504,48.3805,54.3496,76.058,80.7389,206.7168,22.6195,29.2168,99.5885,88.9071,54.0354,146.0841,132.2611,220.9482,56.2345,78.6341,36.4425,51.8049,26.7035,62.5177,85.4513,185.0398,226.823,130.3761,75.7124,57.177,120.323,160.8495,,,,,,
106,43.6681,75.0841,56.8628,163.0487,135.7168,135.0885,54.0354,37.8248,51.8363,51.208,106.1858,67.5442,81.3672,71,62.8947,42.7257,59.3761,,,,,,,,,,,,,,,,,,,,,
107,58.1195,42.4115,116.5531,136.9734,35.5,182.2124,160.8495,31.7301,26.7035,67.8584,46.3699,157.708,165.8761,167.1327,0,0,,,,,,,,,,,,,,,,,,,,,,
108,143.2566,51.5221,71.6283,100.2168,38.3274,88.9071,63.146,106.0916,73.8274,113.0973,54.3496,58.7478,156.7655,75.7124,94.2164,29.6566,32.2642,57.177,116.5531,192.2655,64.2142,81.9956,,,,,,,,,,,,,,,,
109,107.1283,76.0265,66.2876,55.9203,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,44.0765,111.8407,48.3805,48.6947,76.969,74.2987,79.7965,19.2265,79.9221,45.8673,,,,,,,,,,,,,,,,,,,,,,,,,,,,
